date,quantity
2022-07-10,77
2022-07-11,66
2022-07-12,59
2022-07-13,56
2022-07-14,64
2022-07-15,72
2022-07-16,80
2022-07-17,75
2022-07-18,64
2022-07-19,63
2022-07-20,65
2022-07-21,65
2022-07-22,71
2022-07-23,83
2022-07-24,82
2022-07-25,64
2022-07-26,64
2022-07-27,65
2022-07-28,64
2022-07-29,74
2022-07-30,78
2022-07-31,84
2022-08-01,73
2022-08-02,62
2022-08-03,62
2022-08-04,59
2022-08-05,70
2022-08-06,80
2022-08-07,78
2022-08-08,68
2022-08-09,66
2022-08-10,57
2022-08-11,62
2022-08-12,73
2022-08-13,84
2022-08-14,76
2022-08-15,70
2022-08-16,68
2022-08-17,58
2022-08-18,63
2022-08-19,70
2022-08-20,77
2022-08-21,80
2022-08-22,70
2022-08-23,61
2022-08-24,65
2022-08-25,65
2022-08-26,77
2022-08-27,79
2022-08-28,77
2022-08-29,71
2022-08-30,64
2022-08-31,61
2022-09-01,56
2022-09-02,68
2022-09-03,70
2022-09-04,72
2022-09-05,58
2022-09-06,55
2022-09-07,53
2022-09-08,55
2022-09-09,67
2022-09-10,70
2022-09-11,70
2022-09-12,61
2022-09-13,52
2022-09-14,54
2022-09-15,58
2022-09-16,64
2022-09-17,71
2022-09-18,68
2022-09-19,58
2022-09-20,56
2022-09-21,49
2022-09-22,48
2022-09-23,65
2022-09-24,74
2022-09-25,66
2022-09-26,54
2022-09-27,53
2022-09-28,51
2022-09-29,55
2022-09-30,63
2022-10-01,74
2022-10-02,68
2022-10-03,52
2022-10-04,52
2022-10-05,55
2022-10-06,56
2022-10-07,61
2022-10-08,69
2022-10-09,69
2022-10-10,51
2022-10-11,51
2022-10-12,49
2022-10-13,56
2022-10-14,58
2022-10-15,70
2022-10-16,62
2022-10-17,57
2022-10-18,54
2022-10-19,47
2022-10-20,50
2022-10-21,59
2022-10-22,63
2022-10-23,59
2022-10-24,55
2022-10-25,48
2022-10-26,47
2022-10-27,51
2022-10-28,54
2022-10-29,63
2022-10-30,65
2022-10-31,51
2022-11-01,40
2022-11-02,48
2022-11-03,50
2022-11-04,54
2022-11-05,58
2022-11-06,63
2022-11-07,52
2022-11-08,52
2022-11-09,48
2022-11-10,50
2022-11-11,55
2022-11-12,65
2022-11-13,64
2022-11-14,53
2022-11-15,44
2022-11-16,43
2022-11-17,45
2022-11-18,55
2022-11-19,64
2022-11-20,57
2022-11-21,48
2022-11-22,44
2022-11-23,42
2022-11-24,48
2022-11-25,47
2022-11-26,58
2022-11-27,56
2022-11-28,42
2022-11-29,41
2022-11-30,40
2022-12-01,45
2022-12-02,54
2022-12-03,58
2022-12-04,55
2022-12-05,47
2022-12-06,45
2022-12-07,39
2022-12-08,42
2022-12-09,53
2022-12-10,58
2022-12-11,61
2022-12-12,48
2022-12-13,44
2022-12-14,38
2022-12-15,44
2022-12-16,51
2022-12-17,56
2022-12-18,54
2022-12-19,49
2022-12-20,42
2022-12-21,39
2022-12-22,45
2022-12-23,55
2022-12-24,53
2022-12-25,53
2022-12-26,45
2022-12-27,47
2022-12-28,42
2022-12-29,47
2022-12-30,50
2022-12-31,56
2023-01-01,62
2023-01-02,50
2023-01-03,46
2023-01-04,42
2023-01-05,46
2023-01-06,52
2023-01-07,60
2023-01-08,59
2023-01-09,43
2023-01-10,37
2023-01-11,44
2023-01-12,47
2023-01-13,49
2023-01-14,54
2023-01-15,58
2023-01-16,50
2023-01-17,48
2023-01-18,45
2023-01-19,46
2023-01-20,51
2023-01-21,59
2023-01-22,58
2023-01-23,46
2023-01-24,48
2023-01-25,47
2023-01-26,48
2023-01-27,50
2023-01-28,61
2023-01-29,60
2023-01-30,49
2023-01-31,47
2023-02-01,45
2023-02-02,48
2023-02-03,54
2023-02-04,61
2023-02-05,54
2023-02-06,49
2023-02-07,43
2023-02-08,39
2023-02-09,50
2023-02-10,58
2023-02-11,64
2023-02-12,59
2023-02-13,53
2023-02-14,45
2023-02-15,44
2023-02-16,45
2023-02-17,55
2023-02-18,62
2023-02-19,57
2023-02-20,50
2023-02-21,46
2023-02-22,49
2023-02-23,49
2023-02-24,55
2023-02-25,64
2023-02-26,61
2023-02-27,50
2023-02-28,43
2023-03-01,45
2023-03-02,47
2023-03-03,52
2023-03-04,64
2023-03-05,62
2023-03-06,47
2023-03-07,46
2023-03-08,50
2023-03-09,54
2023-03-10,59
2023-03-11,64
2023-03-12,61
2023-03-13,50
2023-03-14,51
2023-03-15,50
2023-03-16,54
2023-03-17,60
2023-03-18,64
2023-03-19,61
2023-03-20,54
2023-03-21,53
2023-03-22,50
2023-03-23,54
2023-03-24,64
2023-03-25,68
2023-03-26,65
2023-03-27,58
2023-03-28,50
2023-03-29,48
2023-03-30,52
2023-03-31,56
2023-04-01,68
2023-04-02,70
2023-04-03,53
2023-04-04,45
2023-04-05,45
2023-04-06,55
2023-04-07,61
2023-04-08,70
2023-04-09,73
2023-04-10,52
2023-04-11,56
2023-04-12,55
2023-04-13,53
2023-04-14,60
2023-04-15,67
2023-04-16,66
2023-04-17,58
2023-04-18,58
2023-04-19,60
2023-04-20,54
2023-04-21,68
2023-04-22,73
2023-04-23,76
2023-04-24,62
2023-04-25,59
2023-04-26,57
2023-04-27,64
2023-04-28,67
2023-04-29,70
2023-04-30,73
2023-05-01,61
2023-05-02,57
2023-05-03,63
2023-05-04,62
2023-05-05,67
2023-05-06,72
2023-05-07,72
2023-05-08,62
2023-05-09,52
2023-05-10,58
2023-05-11,58
2023-05-12,66
2023-05-13,78
2023-05-14,79
2023-05-15,68
2023-05-16,63
2023-05-17,60
2023-05-18,66
2023-05-19,70
2023-05-20,79
2023-05-21,77
2023-05-22,66
2023-05-23,66
2023-05-24,64
2023-05-25,63
2023-05-26,70
2023-05-27,80
2023-05-28,77
2023-05-29,68
2023-05-30,65
2023-05-31,63
2023-06-01,70
2023-06-02,74
2023-06-03,75
2023-06-04,75
2023-06-05,70
2023-06-06,70
2023-06-07,64
2023-06-08,61
2023-06-09,72
2023-06-10,80
2023-06-11,75
2023-06-12,67
2023-06-13,63
2023-06-14,64
2023-06-15,71
2023-06-16,75
2023-06-17,82
2023-06-18,85
2023-06-19,70
2023-06-20,69
2023-06-21,67
2023-06-22,71
2023-06-23,82
2023-06-24,82
2023-06-25,85
2023-06-26,68
2023-06-27,62
2023-06-28,64
2023-06-29,63
2023-06-30,73
2023-07-01,85
2023-07-02,86
2023-07-03,71
2023-07-04,71
2023-07-05,71
2023-07-06,75
2023-07-07,77
2023-07-08,85
2023-07-09,77
2023-07-10,70
2023-07-11,63
2023-07-12,65
2023-07-13,70
2023-07-14,76
2023-07-15,89
2023-07-16,83
2023-07-17,76
2023-07-18,67
2023-07-19,66
2023-07-20,70
2023-07-21,76
2023-07-22,82
2023-07-23,85
2023-07-24,74
2023-07-25,71
2023-07-26,64
2023-07-27,68
2023-07-28,77
2023-07-29,85
2023-07-30,83
2023-07-31,74
2023-08-01,69
2023-08-02,70
2023-08-03,70
2023-08-04,78
2023-08-05,87
2023-08-06,78
2023-08-07,74
2023-08-08,55
2023-08-09,60
2023-08-10,69
2023-08-11,76
2023-08-12,79
2023-08-13,80
2023-08-14,77
2023-08-15,67
2023-08-16,73
2023-08-17,70
2023-08-18,79
2023-08-19,88
2023-08-20,84
2023-08-21,71
2023-08-22,66
2023-08-23,65
2023-08-24,64
2023-08-25,75
2023-08-26,82
2023-08-27,85
2023-08-28,73
2023-08-29,68
2023-08-30,67
2023-08-31,69
2023-09-01,75
2023-09-02,78
2023-09-03,76
2023-09-04,71
2023-09-05,62
2023-09-06,59
2023-09-07,66
2023-09-08,73
2023-09-09,73
2023-09-10,76
2023-09-11,69
2023-09-12,65
2023-09-13,65
2023-09-14,64
2023-09-15,70
2023-09-16,75
2023-09-17,76
2023-09-18,71
2023-09-19,67
2023-09-20,65
2023-09-21,67
2023-09-22,72
2023-09-23,80
2023-09-24,81
2023-09-25,69
2023-09-26,62
2023-09-27,62
2023-09-28,64
2023-09-29,69
2023-09-30,77
2023-10-01,74
2023-10-02,62
2023-10-03,59
2023-10-04,59
2023-10-05,57
2023-10-06,66
2023-10-07,73
2023-10-08,67
2023-10-09,62
2023-10-10,51
2023-10-11,49
2023-10-12,57
2023-10-13,62
2023-10-14,75
2023-10-15,69
2023-10-16,56
2023-10-17,53
2023-10-18,51
2023-10-19,55
2023-10-20,64
2023-10-21,71
2023-10-22,65
2023-10-23,58
2023-10-24,48
2023-10-25,51
2023-10-26,56
2023-10-27,66
2023-10-28,72
2023-10-29,67
2023-10-30,59
2023-10-31,56
2023-11-01,50
2023-11-02,54
2023-11-03,63
2023-11-04,68
2023-11-05,70
2023-11-06,58
2023-11-07,49
2023-11-08,51
2023-11-09,53
2023-11-10,60
2023-11-11,63
2023-11-12,62
2023-11-13,53
2023-11-14,50
2023-11-15,47
2023-11-16,52
2023-11-17,53
2023-11-18,63
2023-11-19,62
2023-11-20,58
2023-11-21,44
2023-11-22,49
2023-11-23,49
2023-11-24,57
2023-11-25,63
2023-11-26,63
2023-11-27,52
2023-11-28,50
2023-11-29,45
2023-11-30,51
2023-12-01,54
2023-12-02,62
2023-12-03,59
2023-12-04,52
2023-12-05,50
2023-12-06,45
2023-12-07,48
2023-12-08,52
2023-12-09,61
2023-12-10,57
2023-12-11,49
2023-12-12,47
2023-12-13,48
2023-12-14,55
2023-12-15,53
2023-12-16,65
2023-12-17,61
2023-12-18,51
2023-12-19,48
2023-12-20,46
2023-12-21,49
2023-12-22,54
2023-12-23,59
2023-12-24,57
2023-12-25,54
2023-12-26,47
2023-12-27,45
2023-12-28,48
2023-12-29,58
2023-12-30,63
2023-12-31,59
